company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
Unbox Robotics,1970,Bangalore,Artificial Intelligence,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",1200000.0,early traction,2021-01-01
upGrad,1970,Mumbai,Education Technology,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000.0,others,2021-01-01
Lead School,1970,Mumbai,Education Technology,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000.0,early traction,2021-01-01
Bizongo,1970,Mumbai,Business-to-Business E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",51000000.0,early traction,2021-01-01
FypMoney,1970,Gurgaon,Fintech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,validation,2021-01-01
Urban Company,1970,Delhi,Home Services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000.0,others,2021-01-01
Comofi Medtech,1970,Bangalore,Healthcare,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,"CIIE.CO, KIIT-TBI",200000.0,others,2021-01-01
Qube Health,1970,Mumbai,Healthcare,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,0.0,early traction,2021-01-01
Vitra.ai,1970,Bangalore,Technology Startup,Vitra.ai is an AI-based video translation platform,Akash Nidhi PS,Inflexor Ventures,0.0,others,2021-01-01
Taikee,1970,Mumbai,Business-to-Business E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",,1000000.0,others,2021-01-01
Fitterfly,1970,Mumbai,Healthcare,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,early traction,2021-01-01
FreeStand,1970,Delhi,Business-to-Business Services,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",100000.0,others,2021-01-01
MyDentalPlan,1970,Bangalore,Healthcare,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000.0,validation,2021-01-01
Freyr Energy,1970,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000.0,others,2021-01-01
DealShare,1970,Jaipur,Business-to-Business E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000.0,others,2021-01-01
Tessolve,1970,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000.0,others,2021-01-01
Smart Joules,1970,Delhi,Renewable Energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000.0,others,2021-01-01
ORAI,1970,Bangalore,Technology Startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000.0,early traction,2021-01-01
ixamBee,1970,Delhi,Education Technology,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000.0,validation,2021-01-01
CoinSwitch Kuber,1970,Bangalore,Fintech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000.0,early traction,2021-01-01
Razorpay,1970,Bangalore,Fintech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000.0,early traction,2021-01-01
Uable,1970,Bangalore,Education Technology,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",0.0,validation,2021-01-01
ZFW Hospitality,1970,Delhi,Food and Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000.0,validation,2021-01-01
Optimized Electrotech,1970,Ahmedabad,Aerospace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000.0,early traction,2021-01-01
Northern Arc,1970,Chennai,Fintech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,"Kotak Mahindra Bank, FMO",5000000.0,others,2021-01-01
Chara,1970,Bangalore,Deep Technology,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000.0,validation,2021-01-01
Sirona Hygiene,1970,Delhi,Healthcare,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000.0,early traction,2021-01-01
Pristyn Care,1970,Gurgaon,Healthcare,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000.0,early traction,2021-01-01
TrulyMadly,1970,Delhi,Dating Services,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",2000000.0,early traction,2021-01-01
Vidyakul,1970,,Education Technology,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",500000.0,validation,2021-01-01
Jambox Games,1970,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,,1100000.0,validation,2021-01-01
Miko,1970,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital",6000000.0,others,2021-01-01
SuperK,1970,Unknown,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,800000.0,validation,2021-01-01
TagZ Foods,1970,Bangalore,Food and Beverages,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,early traction,2021-01-01
Fuel Buddy,1970,Delhi,Oil and Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,1000000.0,others,2021-01-01
M1xchange,1970,Gurgaon,Fintech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000.0,others,2021-01-01
Spintly,1970,Goa,Technology Startup,Wireless cloud based access control platform,Rohin Parkar,Riso Capital,500000.0,others,2021-01-01
EF Polymer,1970,ajsamand,Agricultural Technology,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,others,2021-01-01
boAt,1970,Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",6000000.0,others,2021-01-01
TruNativ,1970,Mumbai,Food and Beverages,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,0.0,validation,2021-01-01
iBus,1970,Bangalore,Telecommunications,iBus Networks is an in-building connectivity solutions company,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000.0,others,2021-01-01
Puresh Daily,1970,anchi,Dairy,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",100000.0,validation,2021-01-01
LearnVern,1970,Ahmedabad,Education Technology,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",,1000000.0,others,2021-01-01
LimeChat,1970,aridabad,Artificial Intelligence,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000.0,validation,2021-01-01
Dybo,1970,Bangalore,Information Technology,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,validation,2021-01-01
moEVing,1970,Gurgaon,Supply Chain and Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,,1000000.0,validation,2021-01-01
WeWork India,1970,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,,26000000.0,others,2021-01-01
Solethreads,1970,Gurgaon,Fashion and Lifestyle,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,"DSG Consumer Partners, Saama Capital",1000000.0,early traction,2021-01-01
Beldara,1970,Mumbai,Business-to-Business E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,others,2021-01-01
CredFlow,1970,Delhi,Fintech,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,validation,2021-01-01
Do Your Thng,1970,Gurgaon,Marketing and Advertising,World's first shared economy platform for digital assets.,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000.0,others,2021-01-01
Oye Rickshaw,1970,Gurgaon,Transportation and Mobility,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000.0,others,2021-01-01
Legitquest,1970,Delhi,Legal Technology,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000.0,others,2021-01-01
Swiggy,1970,Bangalore,Food and Beverages,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital",800000000.0,others,2021-01-01
AntWak,1970,Bangalore,Education Technology,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",0.0,validation,2021-01-01
PlayShifu,1970,Bangalore,Education Technology,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000.0,early traction,2021-01-01
Pitstop,1970,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000.0,early traction,2021-01-01
Lendingkart,1970,Gujarat,Fintech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,others,2021-01-01
CRED,1970,Bangalore,Fintech,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000.0,early traction,2021-01-01
Karnival,1970,Bangalore,Software-as-a-Service,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000.0,validation,2021-01-01
PharmEasy,1970,Mumbai,Healthcare,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,early traction,2021-01-01
WESS,1970,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum Financial Services,2000000.0,validation,2021-01-01
ShopSe,1970,Mumbai,Fintech,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000.0,others,2021-01-01
Fantasy Akhada,1970,Gurgaon,Fantasy Sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,600000.0,others,2021-01-01
Rage Coffee,1970,Delhi,Food and Beverages,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,"GetVantage, Prakash Katama",0.0,early traction,2021-01-01
Groww,1970,Bangalore,Fintech,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000.0,early traction,2021-01-01
Avanti Finance,1970,Bangalore,Fintech,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000.0,early traction,2021-01-01
Kudos,1970,Pune,Fintech,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Naresh Vigh,Marquee fintech founders,0.0,early traction,2021-01-01
OfBusiness,1970,Gurgaon,Fintech,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners",110000000.0,others,2021-01-01
Superpro.ai,1970,Bangalore,Video,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India",3000000.0,validation,2021-01-01
ShareChat,1970,Bangalore,Social Media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000.0,others,2021-01-01
WiT-ACE,1970,Gurgaon,Skills Development and Professional Training,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000.0,validation,2021-01-01
Spinny,1970,Gurgaon,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000.0,early traction,2021-01-01
Alteria Capital,1970,Mumbai,Fintech,Alteria Capital is a Venture debt firm .,Vinod Murali,,150000000000.0,others,2021-01-01
Safexpay,1970,Thane,Fintech,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,"T Choithrams BVI, Ardor",6000000.0,others,2021-01-01
PumPumPum,1970,Gurgaon,Rental Services,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",700000.0,early traction,2021-01-01
Speciale Invest,1970,Bangalore,Fintech,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",,10000000.0,others,2021-01-01
Eunimart,1970,Hyderabad,Business-to-Business E-commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000.0,early traction,2021-01-01
Meesho,1970,Bangalore,Business-to-Business E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000.0,others,2021-01-01
CareerLabs,1970,Bangalore,Education Technology,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,others,2021-01-01
Uable,1970,Bangalore,Education Technology,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh Saxena,"JAFCO Asia, Chiratae Ventures",35000000.0,early traction,2021-01-01
Zoko,1970,Bangalore,Technology Startup,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,140000000.0,validation,2021-01-01
GetWork,1970,Gurgaon,Recruitment and Staffing,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,Artha Venture Fund,200000.0,validation,2021-01-01
Easebuzz,1970,Pune,Business-to-Business E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000.0,early traction,2021-01-01
Chingari,1970,Bangalore,Social Media,Chingari operates as a short video platform.,Sumit Ghosh,"FJ Labs, Brian Norgard",13000000.0,others,2021-01-01
DusMinute,1970,Bangalore,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,early traction,2021-01-01
Onsurity,1970,Bangalore,HealthCare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",0.0,others,2021-01-01
Karbon Card,1970,Bangalore,Fintech,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,0.0,others,2021-01-01
Factors.AI,1970,Bangalore,Software-as-a-Service,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000.0,others,2021-01-01
Elevar,1970,Mumbai,Sports and Sports Technology,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000.0,others,2021-01-01
Studio Sirah,1970,Bangalore,Gaming,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000.0,others,2021-01-01
OTO Capital,1970,Mumbai,Fintech,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000.0,others,2021-01-01
1Bridge,1970,Bangalore,Consumer Goods and Services,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000.0,others,2021-01-01
Skeps,1970,Gurgaon,Fintech,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000.0,others,2021-01-01
Curefoods,1970,Bangalore,Food and Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,others,2021-01-01
TartanSense,1970,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,others,2021-01-01
Bewakoof,1970,Mumbai,Fashion and Lifestyle,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,others,2021-01-01
Kirana247,1970,Delhi,Supply Chain and Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000.0,others,2021-01-01
FanPlay,1970,Computer Games,Gaming,A real money game app specializing in trivia games,Pritesh Kumar,,1200000.0,validation,2021-01-01
NeoDocs,1970,Mumbai,Healthcare,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",0.0,others,2021-01-01
IsGoingOnline,1970,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,others,2021-01-01
Camp K12,1970,Gurgaon,Education Technology,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,others,2021-01-01
Elda Health,1970,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000.0,others,2021-01-01
Sporjo,1970,Mumbai,Sports and Sports Technology,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,others,2021-01-01
Advantage Club,1970,Mumbai,Human Resources and HR Technology,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000.0,others,2021-01-01
SuperGaming,1970,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,others,2021-01-01
Ruptok,1970,Delhi,Fintech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,others,2021-01-01
TartanSense,1970,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,early traction,2021-01-01
Kirana247,1970,Delhi,Supply Chain and Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000.0,early traction,2021-01-01
NeoDocs,1970,Mumbai,Healthcare,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",0.0,validation,2021-01-01
IsGoingOnline,1970,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,early traction,2021-01-01
Camp K12,1970,Gurgaon,Education Technology,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,early traction,2021-01-01
Elda Health,1970,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000.0,validation,2021-01-01
Sporjo,1970,Mumbai,Sports and Sports Technology,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,early traction,2021-01-01
SuperGaming,1970,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,early traction,2021-01-01
O’ Be Cocktails,1970,Bangalore,Wine and Spirits,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,"First Cheque, Letsventure",400000.0,others,2021-01-01
Zetwerk,1970,Bangalore,Mechanical and Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",,150000000.0,early traction,2021-01-01
AppsForBharat,1970,Bangalore,Spirituality,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,"Sequoia Capital India, BEENEXT",4000000.0,validation,2021-01-01
Imagimake,1970,Mumbai,Consumer Goods and Services,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,0.0,others,2021-01-01
Khatabook,1970,Bangalore,Financial Services,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,early traction,2021-01-01
Smytten,1970,Gurgaon,Consumer Goods and Services,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000.0,early traction,2021-01-01
Syook,1970,Bangalore,Industrial Automation,Syook is building the next generation enterprise IOT platform.,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",1000000.0,early traction,2021-01-01
Akudo,1970,Bangalore,Fintech,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",0.0,validation,2021-01-01
NOTO,1970,Mumbai,Consumer Goods and Services,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",500000.0,early traction,2021-01-01
Lumiq,1970,Noida,Information Technology,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,Info Edge Ventures,2000000.0,validation,2021-01-01
CommerceUp,1970,Gurgaon,Information Technology,Grow and manage ecommerce business from single dashboard,Piyush Pathak,NB Ventures,0.0,validation,2021-01-01
Breathe Well-being,1970,Gurgaon,Healthcare,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","Rohan Verma, Aditya Kaicker",Accel,5500000.0,early traction,2021-01-01
Hike,1970,Delhi,Information Technology,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,Kavin Bharti Mittal,"Binny Bansal, Kunal Shah",0.0,others,2021-01-01
House of Kieraya,1970,Bangalore,Lifestyle,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",Ajith Mohan Karimpana,TradeCred,15000000.0,others,2021-01-01
goEgoNetwork,1970,Pune,Automotive,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.","Dheeman Kadam, Sayantan Chakraborti",,2000000.0,others,2021-01-01
Probus,1970,Delhi,Internet of Things,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.","Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,500000.0,others,2021-01-01
DrinkPrime,1970,Bangalore,Consumer Goods and Services,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal,"UC Inclusive Credit, Western Capital",1000000.0,others,2021-01-01
