company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
Grinntech,1970,Dehradun,Battery design,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan",2000000.0,others,2020-01-01
CreditMantri,1970,Chennai,Financial Services,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0,others,2020-01-01
Chai Waale,1970,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000.0,others,2020-01-01
Deepsync,1970,Bangalore,Technology Startup,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,300000.0,others,2020-01-01
ConnectedH,1970,Gurgaon,HealthCare,The company’s vision is simple – Connected Healthcare.,"Shubham Gupta, Suresh Singh",,0.0,others,2020-01-01
Reliance Retail,1970,Mumbai,Business-to-Business E-commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Mukesh Ambani,Silver Lake Partners,10220000.0,others,2020-01-01
QShala,1970,Bangalore,Education Technology,A platform that helps kids learn about life skills,"Sachin Ravi, Raghav Chakravarthy",,300000.0,others,2020-01-01
Pitstop,1970,Bangalore,Automotive,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence",1020000.0,others,2020-01-01
Zomato,1970,Haryana,Food and Beverages,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",100000000.0,others,2020-01-01
Customfit ai,1970,Bangalore,Software-as-a-Service,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed",,0.0,others,2020-01-01
